name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedCDictionaryEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.0001631499999348307,0.0003201569998054765,0.0001697845523913184,4.8062642967454315e-06,0.00016972199955489486,1.672000507824123e-06,329;838,5889.817335650219,5641,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-eager],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,False,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00016379100088670384,0.0016145339996000985,0.0001690220924768678,1.9403503036595916e-05,0.0001680589994066395,2.014001438510604e-06,5;427,5916.386345393629,5861,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedCDictionaryEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00016404099915234838,0.00032196099891734775,0.00016844955033142348,4.0561632647462e-06,0.00016759800018917304,3.2249995456368197e-06,341;274,5936.495514725364,5713,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-eager],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,False,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.00018769599955703598,0.00033614800122450106,0.0001918263012155403,2.9448242259394623e-06,0.00019136300034006126,1.6034996406233404e-06,330;331,5213.049481032206,5159,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,True,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.00018948999968415592,0.0003504739997879369,0.00019379667181828334,7.347463902002512e-06,0.00019272600002295803,1.6330009202647489e-06,137;539,5160.047335269342,4927,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-lt-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedDictionaryEncoding,True,10000000,10000,0010,FilterScan,Lt,4j,10000000,10000000,20,200000000,,,0.0001916229994094465,0.0003366189994267188,0.0001952414117238669,4.172678641058781e-06,0.00019455350047792308,1.5129990060813725e-06,338;455,5121.8642150278865,4814,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,True,10000000,10000,0009,FilterScan,Eq,0,10000000,10000000,20,200000000,,,0.00019170300038240384,0.00034595600118336733,0.00019537405741252775,4.629082519785063e-06,0.00019473000065772794,1.3130011211615056e-06,291;422,5118.386817798042,4929,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedCDictionaryEncoding,True,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.00019235500076320022,0.0003448349998507183,0.00019643233196834698,4.944997657232434e-06,0.00019567200070014223,1.7730012586980592e-06,321;438,5090.811629529194,4847,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-index-eager],cuda,,20,prefix,False,0.15,UnsortedDictionaryEncoding,False,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,149628,20,20000000,,,0.00019272600002295803,0.0003835780007648282,0.00019711821048897947,4.856698061106712e-06,0.0001964229995792266,1.471998984925449e-06,267;570,5073.098003068104,5031,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-lt-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedCDictionaryEncoding,True,10000000,10000,0010,FilterScan,Lt,4j,10000000,10000000,20,200000000,,,0.0001933170005941065,0.0010619050008244812,0.00019760419431672153,1.319303186170765e-05,0.00019665299987536855,1.7132501852756832e-06,22;444,5060.621326676864,4909,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-eq-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedCDictionaryEncoding,True,10000000,10000,0009,FilterScan,Eq,0,10000000,10000000,20,200000000,,,0.0001938579989655409,0.00038760500137868803,0.00019819638885091388,6.207546221430936e-06,0.0001974240003619343,2.003000190597959e-06,227;338,5045.500605726041,4840,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-PlainEncoding-index-eager],cuda,,20,prefix,False,0.15,PlainEncoding,False,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,149628,20,20000000,,,0.000209466999876895,0.0002596020003693411,0.0002216309781377376,1.153811406269514e-05,0.00021559900051215664,8.76200010679895e-06,921;919,4512.004632215841,4020,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-PlainEncoding-index-compile],cuda,,20,prefix,False,0.15,PlainEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,149628,20,20000000,,,0.0002132539993908722,0.00025619699954404496,0.00021929756708077852,2.704445896720118e-06,0.0002188950002164347,1.812999016692629e-06,740;426,4560.014109192779,4391,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-PlainEncoding-index-compile],cuda,,20,eq,False,0.15,PlainEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,148502,20,20000000,,,0.00021506800112547353,0.0002577190007286845,0.0002212260353638131,3.567618301086801e-06,0.00022041800002625678,3.4870008676080033e-06,867;290,4520.263622477656,4268,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,PlainEncoding,True,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.0002191359999414999,0.00040495899884263054,0.0002232835368462606,4.8096266230171645e-06,0.00022290199922281317,1.3455010048346594e-06,95;221,4478.610533156051,4437,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-eager],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,False,10000000,10000,0009,FilterScan,Eq,0,10000000,10000000,20,200000000,,,0.00022333299966703635,0.00041014800081029534,0.00022822207154418885,5.67823105391222e-06,0.00022764200002711732,1.7130018932220992e-06,197;320,4381.6971480182965,4347,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-eq-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,eq,True,0.15,CPlainEncoding,True,10000000,10000,0009,FilterScan,Eq,0,10000000,10000000,20,200000000,,,0.0002234639996459009,0.00037592300031974446,0.0002265031709274544,5.145361958053698e-06,0.00022587800049223006,1.0210005711996928e-06,135;244,4414.949229652441,4347,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-index-eager],cuda,,20,eq,False,0.15,UnsortedDictionaryEncoding,False,1000000,10000,0006,FilterScan,Eq,0,1000000,148502,20,20000000,,,0.00022833399998489767,0.0004073729996889597,0.0002344516118745896,6.415078648299131e-06,0.00023329250052483985,2.9660004656761885e-06,254;296,4265.272445791115,4094,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-DictionaryEncoding-mask-eager],cuda,,20,eq,True,0.15,DictionaryEncoding,False,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00023982499988051131,0.0002767349997156998,0.0002458511457113719,3.6219559513821196e-06,0.00024505500005034264,3.697998181451112e-06,813;258,4067.50189065214,3947,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-DictionaryEncoding-mask-eager],cuda,,20,prefix,True,0.15,DictionaryEncoding,False,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.0002434329999232432,0.00043688900041161105,0.00024943415729193765,7.559076333137843e-06,0.00024851200032571796,2.1612513592117466e-06,138;425,4009.074021203922,3961,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-UnsortedDictionaryEncoding-mask-eager],cuda,,20,lt,True,0.15,UnsortedDictionaryEncoding,False,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.00025394200019945856,0.00029287600045790896,0.00025971630651791316,2.841861158487162e-06,0.0002592410000943346,2.0639986360038165e-06,839;395,3850.3550793836193,3817,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-PlainEncoding-index-compile],cuda,,20,lt,False,0.15,PlainEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,149628,20,20000000,,,0.00026848899869946763,0.00046707600085937884,0.0002780011547226951,1.0189902750118701e-05,0.00027774699992733076,2.552749720052816e-06,48;654,3597.107360929833,3535,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-eq-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,eq,True,0.15,PlainEncoding,True,10000000,10000,0009,FilterScan,Eq,0,10000000,10000000,20,200000000,,,0.00027513099848874845,0.0004283819998818217,0.0002776697120399866,5.253206191786772e-06,0.00027720599973690696,9.319992386735976e-07,68;195,3601.401077032097,3556,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,DictionaryEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00027655499980028253,0.0004464070007088594,0.000284542984491387,6.848522993373811e-06,0.0002842189987859456,3.006000042660162e-06,221;271,3514.4075043265375,3415,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-index-compile],cuda,,20,prefix,False,0.15,UnsortedDictionaryEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,149628,20,20000000,,,0.0002771259987639496,0.0013774229992122855,0.00028468231605599905,1.998172759386235e-05,0.0002838790005625924,3.924751126760384e-06,10;183,3512.687454050686,3395,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedCDictionaryEncoding-index-compile],cuda,,20,prefix,False,0.15,UnsortedCDictionaryEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,149628,20,20000000,,,0.00027797800066764466,0.00043553599971346557,0.00028490857789905414,4.6743785623524034e-06,0.0002846849993147771,3.858000127365813e-06,355;179,3509.897832399801,3350,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-DictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,DictionaryEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.0002779970000119647,0.00032733000080042984,0.0002853087446200751,4.301853150810378e-06,0.0002843589991243789,4.830000307265436e-06,820;159,3504.9749398029394,3399,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-index-compile],cuda,,20,eq,False,0.15,UnsortedDictionaryEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,148502,20,20000000,,,0.00027812799999082927,0.00042871400000876747,0.0002849750321092351,5.405328541556371e-06,0.0002842900012183236,4.107251243112842e-06,354;212,3509.0793484556402,3333,1
